date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,23:37:08,Samedi,Nuit (21h-00h),Connecté,1,0.0348,0.0368,0.0716,S20260418_233608
2026-04-18,23:38:08,Samedi,Nuit (21h-00h),Connecté,1,0.0459,0.0396,0.0855,S20260418_233608
2026-04-18,23:39:08,Samedi,Nuit (21h-00h),Connecté,1,0.0369,0.037,0.0739,S20260418_233608
2026-04-18,23:40:08,Samedi,Nuit (21h-00h),Connecté,1,0.17,0.1395,0.3095,S20260418_233608
2026-04-18,23:41:08,Samedi,Nuit (21h-00h),Connecté,1,0.0325,0.0334,0.0659,S20260418_233608
2026-04-18,23:42:09,Samedi,Nuit (21h-00h),Connecté,1,0.0391,0.0428,0.0819,S20260418_233608
2026-04-18,23:43:09,Samedi,Nuit (21h-00h),Connecté,1,0.0502,0.0463,0.0965,S20260418_233608
2026-04-18,23:44:09,Samedi,Nuit (21h-00h),Connecté,1,0.0375,0.0377,0.0752,S20260418_233608
2026-04-18,23:45:09,Samedi,Nuit (21h-00h),Connecté,1,0.0498,0.0438,0.0936,S20260418_233608
2026-04-18,23:46:09,Samedi,Nuit (21h-00h),Connecté,1,0.036,0.036,0.072,S20260418_233608
2026-04-18,23:47:09,Samedi,Nuit (21h-00h),Connecté,1,0.0695,0.0848,0.1543,S20260418_233608
2026-04-18,23:48:09,Samedi,Nuit (21h-00h),Connecté,1,0.0455,0.0394,0.0849,S20260418_233608
2026-04-18,23:49:10,Samedi,Nuit (21h-00h),Connecté,1,0.0377,0.0392,0.0769,S20260418_233608
2026-04-18,23:50:10,Samedi,Nuit (21h-00h),Connecté,1,0.0546,0.0514,0.106,S20260418_233608
2026-04-18,23:51:10,Samedi,Nuit (21h-00h),Connecté,1,0.0376,0.0374,0.075,S20260418_233608
2026-04-18,23:52:10,Samedi,Nuit (21h-00h),Connecté,1,0.0381,0.0422,0.0803,S20260418_233608
2026-04-18,23:53:10,Samedi,Nuit (21h-00h),Connecté,1,0.0654,0.0634,0.1288,S20260418_233608
2026-04-18,23:54:10,Samedi,Nuit (21h-00h),Connecté,1,0.0333,0.0339,0.0672,S20260418_233608
2026-04-18,23:55:10,Samedi,Nuit (21h-00h),Connecté,1,0.0525,0.0461,0.0986,S20260418_233608
2026-04-18,23:56:10,Samedi,Nuit (21h-00h),Connecté,1,0.0377,0.0376,0.0753,S20260418_233608
2026-04-18,23:57:11,Samedi,Nuit (21h-00h),Connecté,1,0.0481,0.0424,0.0905,S20260418_233608
2026-04-18,23:58:11,Samedi,Nuit (21h-00h),Connecté,1,0.0633,0.068,0.1313,S20260418_233608
2026-04-18,23:59:11,Samedi,Nuit (21h-00h),Connecté,1,0.1918,0.1459,0.3377,S20260418_233608
2026-04-19,00:00:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0579,0.0553,0.1132,S20260418_233608
2026-04-19,00:01:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0395,0.0397,0.0792,S20260418_233608
2026-04-19,00:02:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0514,0.0518,0.1032,S20260418_233608
2026-04-19,00:03:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0521,0.0492,0.1013,S20260418_233608
2026-04-19,00:04:11,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0323,0.0329,0.0652,S20260418_233608
2026-04-19,00:05:14,Dimanche,Nuit profonde (00h-05h),Déconnecté,1,0.0575,0.0562,0.1137,S20260418_233608
2026-04-19,00:06:14,Dimanche,Nuit profonde (00h-05h),Connecté,1,0.0371,0.0383,0.0754,S20260418_233608
