date,heure,jour_semaine,periode_journee,statut_connexion,duree_minutes,download_Mo,upload_Mo,total_Mo,session_id
2026-04-18,20:01:14,Samedi,Soirée (18h-21h),Connecté,1,0.3589,0.182,0.5409,S20260418_200014
2026-04-18,20:02:15,Samedi,Soirée (18h-21h),Connecté,1,0.0559,0.0533,0.1092,S20260418_200014
2026-04-18,20:03:15,Samedi,Soirée (18h-21h),Connecté,1,0.1002,0.0318,0.132,S20260418_200014
2026-04-18,20:04:15,Samedi,Soirée (18h-21h),Connecté,1,0.016,0.0204,0.0364,S20260418_200014
2026-04-18,20:05:15,Samedi,Soirée (18h-21h),Connecté,1,2.0718,1.6664,3.7382,S20260418_200014
2026-04-18,20:06:16,Samedi,Soirée (18h-21h),Connecté,1,0.0176,0.0408,0.0584,S20260418_200014
2026-04-18,20:07:16,Samedi,Soirée (18h-21h),Connecté,1,0.0391,0.0392,0.0783,S20260418_200014
2026-04-18,20:08:16,Samedi,Soirée (18h-21h),Connecté,1,0.0944,0.034,0.1284,S20260418_200014
2026-04-18,20:09:17,Samedi,Soirée (18h-21h),Connecté,1,0.2603,0.6158,0.8761,S20260418_200014
2026-04-18,20:10:17,Samedi,Soirée (18h-21h),Connecté,1,0.088,0.0524,0.1404,S20260418_200014
2026-04-18,20:11:17,Samedi,Soirée (18h-21h),Connecté,1,0.0071,0.0267,0.0338,S20260418_200014
2026-04-18,20:12:18,Samedi,Soirée (18h-21h),Connecté,1,0.0471,0.0603,0.1074,S20260418_200014
2026-04-18,20:13:18,Samedi,Soirée (18h-21h),Connecté,1,0.1179,0.0497,0.1676,S20260418_200014
2026-04-18,20:14:18,Samedi,Soirée (18h-21h),Connecté,1,0.3048,0.29,0.5948,S20260418_200014
2026-04-18,20:15:18,Samedi,Soirée (18h-21h),Connecté,1,0.004,0.027,0.031,S20260418_200014
2026-04-18,20:16:19,Samedi,Soirée (18h-21h),Connecté,1,0.0032,0.0207,0.0239,S20260418_200014
2026-04-18,20:17:19,Samedi,Soirée (18h-21h),Connecté,1,0.0022,0.0195,0.0217,S20260418_200014
2026-04-18,20:18:19,Samedi,Soirée (18h-21h),Connecté,1,0.0931,0.0274,0.1205,S20260418_200014
2026-04-18,20:19:20,Samedi,Soirée (18h-21h),Connecté,1,0.0426,0.0434,0.086,S20260418_200014
2026-04-18,20:20:20,Samedi,Soirée (18h-21h),Connecté,1,0.008,0.0239,0.0319,S20260418_200014
2026-04-18,20:21:20,Samedi,Soirée (18h-21h),Connecté,1,0.0031,0.0237,0.0268,S20260418_200014
2026-04-18,20:22:20,Samedi,Soirée (18h-21h),Connecté,1,0.003,0.0241,0.0271,S20260418_200014
2026-04-18,20:23:21,Samedi,Soirée (18h-21h),Connecté,1,0.081,0.0309,0.1119,S20260418_200014
2026-04-18,20:24:21,Samedi,Soirée (18h-21h),Connecté,1,0.0998,0.0666,0.1664,S20260418_200014
2026-04-18,20:25:21,Samedi,Soirée (18h-21h),Connecté,1,0.0195,0.0252,0.0447,S20260418_200014
2026-04-18,20:26:22,Samedi,Soirée (18h-21h),Connecté,1,0.0026,0.0183,0.0209,S20260418_200014
2026-04-18,20:27:22,Samedi,Soirée (18h-21h),Connecté,1,0.0413,0.0371,0.0784,S20260418_200014
2026-04-18,20:28:22,Samedi,Soirée (18h-21h),Connecté,1,0.088,0.042,0.13,S20260418_200014
2026-04-18,20:29:22,Samedi,Soirée (18h-21h),Connecté,1,0.0328,0.034,0.0668,S20260418_200014
2026-04-18,20:34:58,Samedi,Soirée (18h-21h),Connecté,1,49.1771,1.1903,50.3674,S20260418_200014
2026-04-18,20:35:59,Samedi,Soirée (18h-21h),Connecté,1,15.281,0.4964,15.7774,S20260418_200014
2026-04-18,20:36:59,Samedi,Soirée (18h-21h),Connecté,1,15.5924,0.3827,15.9751,S20260418_200014
2026-04-18,20:37:59,Samedi,Soirée (18h-21h),Déconnecté,1,-0.0204,-0.2226,-0.243,S20260418_200014
2026-04-18,20:38:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:39:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:40:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:41:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:42:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:43:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:44:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:45:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:46:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:47:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,20:48:59,Samedi,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:09:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0003,0.0003,S20260418_200014
2026-04-18,21:10:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:11:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:12:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:13:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:14:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:15:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:16:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:17:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:18:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:19:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:20:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:21:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:22:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:23:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:24:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-18,21:25:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:26:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:27:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:28:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:29:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:30:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:31:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:32:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:33:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:34:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-18,21:35:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:36:52,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:37:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:38:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:39:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-18,21:40:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:41:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:42:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:43:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:44:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:45:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:46:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:47:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:48:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:49:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:50:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:51:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:52:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:53:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:54:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-18,21:55:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:56:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:57:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:58:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,21:59:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:00:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:01:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:02:53,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:03:54,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:04:54,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:05:54,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:06:54,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:07:54,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:08:54,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-18,22:09:54,Samedi,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-19,01:10:53,Dimanche,Nuit profonde (00h-05h),Déconnecté,1,-0.0001,-0.0097,-0.0098,S20260418_200014
2026-04-19,09:28:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0003,0.0003,S20260418_200014
2026-04-19,09:29:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:30:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:31:00,Dimanche,Matinée (09h-12h),Connecté,1,41.4397,0.7044,42.1441,S20260418_200014
2026-04-19,09:32:00,Dimanche,Matinée (09h-12h),Déconnecté,1,-0.0004,-0.0036,-0.004,S20260418_200014
2026-04-19,09:33:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:34:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:35:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:36:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:37:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:38:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:39:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:40:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:41:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:42:00,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:43:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-19,09:44:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:45:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:46:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:47:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:48:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:49:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:50:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,09:51:01,Dimanche,Matinée (09h-12h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,12:51:59,Dimanche,Midi (12h-14h),Déconnecté,1,-0.0,-0.0012,-0.0012,S20260418_200014
2026-04-19,20:16:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0003,0.0003,S20260418_200014
2026-04-19,20:17:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:18:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:19:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:20:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:21:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:22:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:23:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:24:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:25:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:26:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:27:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:28:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:29:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:30:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:31:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-19,20:32:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:33:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:34:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:35:12,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:36:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:37:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:38:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:39:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:40:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:41:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:42:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:43:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:44:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:45:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:46:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-19,20:47:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:48:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:49:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:50:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:51:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:52:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:53:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:54:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:55:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:56:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:57:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:58:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,20:59:13,Dimanche,Soirée (18h-21h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:00:13,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:01:13,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-19,21:02:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:03:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:04:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:05:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:06:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:07:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:08:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:09:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:10:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:11:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:12:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:13:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:14:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:15:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:16:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-19,21:17:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:18:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:19:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:20:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:21:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:22:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:23:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:24:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:25:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:26:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:27:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:28:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:29:14,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:30:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:31:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-19,21:32:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:33:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:34:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:35:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:36:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:37:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:38:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:39:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:40:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:41:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:42:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:43:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:44:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:45:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:46:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0001,0.0001,S20260418_200014
2026-04-19,21:47:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:48:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:49:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:50:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:51:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:52:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:53:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:54:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:55:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:56:15,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:57:16,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:58:16,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,21:59:16,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
2026-04-19,22:00:16,Dimanche,Nuit (21h-00h),Déconnecté,1,0.0,0.0,0.0,S20260418_200014
